"","geoCode","/m/012gx2"
"Alabama","US-AL",34
"Alaska","US-AK",44
"Arizona","US-AZ",37
"Arkansas","US-AR",38
"California","US-CA",38
"Colorado","US-CO",39
"Connecticut","US-CT",45
"Delaware","US-DE",54
"District of Columbia","US-DC",100
"Florida","US-FL",40
"Georgia","US-GA",30
"Hawaii","US-HI",36
"Idaho","US-ID",37
"Illinois","US-IL",37
"Indiana","US-IN",36
"Iowa","US-IA",36
"Kansas","US-KS",39
"Kentucky","US-KY",37
"Louisiana","US-LA",30
"Maine","US-ME",39
"Maryland","US-MD",41
"Massachusetts","US-MA",42
"Michigan","US-MI",38
"Minnesota","US-MN",39
"Mississippi","US-MS",32
"Missouri","US-MO",37
"Montana","US-MT",35
"Nebraska","US-NE",34
"Nevada","US-NV",32
"New Hampshire","US-NH",46
"New Jersey","US-NJ",37
"New Mexico","US-NM",36
"New York","US-NY",37
"North Carolina","US-NC",32
"North Dakota","US-ND",29
"Ohio","US-OH",34
"Oklahoma","US-OK",35
"Oregon","US-OR",39
"Pennsylvania","US-PA",37
"Rhode Island","US-RI",44
"South Carolina","US-SC",33
"South Dakota","US-SD",35
"Tennessee","US-TN",35
"Texas","US-TX",31
"Utah","US-UT",30
"Vermont","US-VT",39
"Virginia","US-VA",36
"Washington","US-WA",37
"West Virginia","US-WV",44
"Wisconsin","US-WI",37
"Wyoming","US-WY",41
