"","geoCode","/m/012gx2"
"Alabama","US-AL",34
"Alaska","US-AK",42
"Arizona","US-AZ",37
"Arkansas","US-AR",35
"California","US-CA",36
"Colorado","US-CO",37
"Connecticut","US-CT",41
"Delaware","US-DE",59
"District of Columbia","US-DC",100
"Florida","US-FL",42
"Georgia","US-GA",32
"Hawaii","US-HI",33
"Idaho","US-ID",46
"Illinois","US-IL",44
"Indiana","US-IN",37
"Iowa","US-IA",42
"Kansas","US-KS",36
"Kentucky","US-KY",38
"Louisiana","US-LA",31
"Maine","US-ME",46
"Maryland","US-MD",40
"Massachusetts","US-MA",38
"Michigan","US-MI",39
"Minnesota","US-MN",39
"Mississippi","US-MS",28
"Missouri","US-MO",37
"Montana","US-MT",42
"Nebraska","US-NE",38
"Nevada","US-NV",34
"New Hampshire","US-NH",48
"New Jersey","US-NJ",37
"New Mexico","US-NM",100
"New York","US-NY",35
"North Carolina","US-NC",33
"North Dakota","US-ND",41
"Ohio","US-OH",36
"Oklahoma","US-OK",37
"Oregon","US-OR",34
"Pennsylvania","US-PA",43
"Rhode Island","US-RI",41
"South Carolina","US-SC",37
"South Dakota","US-SD",43
"Tennessee","US-TN",36
"Texas","US-TX",30
"Utah","US-UT",34
"Vermont","US-VT",34
"Virginia","US-VA",36
"Washington","US-WA",34
"West Virginia","US-WV",45
"Wisconsin","US-WI",43
"Wyoming","US-WY",44
