geoName,geoCode,Joe Biden
Alabama,US-AL,38
Alaska,US-AK,44
Arizona,US-AZ,46
Arkansas,US-AR,41
California,US-CA,47
Colorado,US-CO,45
Connecticut,US-CT,50
Delaware,US-DE,70
District of Columbia,US-DC,100
Florida,US-FL,49
Georgia,US-GA,36
Hawaii,US-HI,36
Idaho,US-ID,55
Illinois,US-IL,56
Indiana,US-IN,41
Iowa,US-IA,44
Kansas,US-KS,46
Kentucky,US-KY,36
Louisiana,US-LA,37
Maine,US-ME,59
Maryland,US-MD,50
Massachusetts,US-MA,51
Michigan,US-MI,82
Minnesota,US-MN,49
Mississippi,US-MS,45
Missouri,US-MO,62
Montana,US-MT,54
Nebraska,US-NE,48
Nevada,US-NV,38
New Hampshire,US-NH,63
New Jersey,US-NJ,42
New Mexico,US-NM,41
New York,US-NY,49
North Carolina,US-NC,38
North Dakota,US-ND,45
Ohio,US-OH,49
Oklahoma,US-OK,36
Oregon,US-OR,57
Pennsylvania,US-PA,53
Rhode Island,US-RI,52
South Carolina,US-SC,42
South Dakota,US-SD,32
Tennessee,US-TN,38
Texas,US-TX,36
Utah,US-UT,38
Vermont,US-VT,73
Virginia,US-VA,46
Washington,US-WA,66
West Virginia,US-WV,38
Wisconsin,US-WI,45
Wyoming,US-WY,36
