geoName,geoCode,Joe Biden
Alabama,US-AL,37
Alaska,US-AK,28
Arizona,US-AZ,49
Arkansas,US-AR,47
California,US-CA,38
Colorado,US-CO,47
Connecticut,US-CT,52
Delaware,US-DE,76
District of Columbia,US-DC,100
Florida,US-FL,48
Georgia,US-GA,40
Hawaii,US-HI,36
Idaho,US-ID,63
Illinois,US-IL,47
Indiana,US-IN,45
Iowa,US-IA,50
Kansas,US-KS,40
Kentucky,US-KY,40
Louisiana,US-LA,36
Maine,US-ME,69
Maryland,US-MD,55
Massachusetts,US-MA,56
Michigan,US-MI,47
Minnesota,US-MN,51
Mississippi,US-MS,42
Missouri,US-MO,43
Montana,US-MT,78
Nebraska,US-NE,46
Nevada,US-NV,49
New Hampshire,US-NH,58
New Jersey,US-NJ,49
New Mexico,US-NM,46
New York,US-NY,38
North Carolina,US-NC,41
North Dakota,US-ND,55
Ohio,US-OH,44
Oklahoma,US-OK,43
Oregon,US-OR,51
Pennsylvania,US-PA,51
Rhode Island,US-RI,38
South Carolina,US-SC,42
South Dakota,US-SD,51
Tennessee,US-TN,45
Texas,US-TX,36
Utah,US-UT,46
Vermont,US-VT,50
Virginia,US-VA,50
Washington,US-WA,51
West Virginia,US-WV,57
Wisconsin,US-WI,51
Wyoming,US-WY,44
