geoName,geoCode,Joe Biden
Alabama,US-AL,35
Alaska,US-AK,42
Arizona,US-AZ,43
Arkansas,US-AR,37
California,US-CA,36
Colorado,US-CO,37
Connecticut,US-CT,42
Delaware,US-DE,71
District of Columbia,US-DC,100
Florida,US-FL,39
Georgia,US-GA,37
Hawaii,US-HI,34
Idaho,US-ID,43
Illinois,US-IL,38
Indiana,US-IN,39
Iowa,US-IA,41
Kansas,US-KS,39
Kentucky,US-KY,33
Louisiana,US-LA,34
Maine,US-ME,46
Maryland,US-MD,44
Massachusetts,US-MA,70
Michigan,US-MI,53
Minnesota,US-MN,40
Mississippi,US-MS,39
Missouri,US-MO,39
Montana,US-MT,50
Nebraska,US-NE,39
Nevada,US-NV,36
New Hampshire,US-NH,71
New Jersey,US-NJ,41
New Mexico,US-NM,35
New York,US-NY,34
North Carolina,US-NC,37
North Dakota,US-ND,49
Ohio,US-OH,39
Oklahoma,US-OK,38
Oregon,US-OR,41
Pennsylvania,US-PA,43
Rhode Island,US-RI,46
South Carolina,US-SC,36
South Dakota,US-SD,39
Tennessee,US-TN,40
Texas,US-TX,31
Utah,US-UT,35
Vermont,US-VT,43
Virginia,US-VA,42
Washington,US-WA,38
West Virginia,US-WV,48
Wisconsin,US-WI,46
Wyoming,US-WY,46
