geoName,geoCode,Joe Biden
Alabama,US-AL,33
Alaska,US-AK,44
Arizona,US-AZ,42
Arkansas,US-AR,44
California,US-CA,34
Colorado,US-CO,36
Connecticut,US-CT,41
Delaware,US-DE,59
District of Columbia,US-DC,100
Florida,US-FL,36
Georgia,US-GA,35
Hawaii,US-HI,31
Idaho,US-ID,47
Illinois,US-IL,39
Indiana,US-IN,40
Iowa,US-IA,45
Kansas,US-KS,43
Kentucky,US-KY,39
Louisiana,US-LA,37
Maine,US-ME,55
Maryland,US-MD,41
Massachusetts,US-MA,48
Michigan,US-MI,44
Minnesota,US-MN,43
Mississippi,US-MS,31
Missouri,US-MO,46
Montana,US-MT,40
Nebraska,US-NE,48
Nevada,US-NV,39
New Hampshire,US-NH,44
New Jersey,US-NJ,40
New Mexico,US-NM,42
New York,US-NY,33
North Carolina,US-NC,37
North Dakota,US-ND,41
Ohio,US-OH,44
Oklahoma,US-OK,46
Oregon,US-OR,45
Pennsylvania,US-PA,45
Rhode Island,US-RI,44
South Carolina,US-SC,35
South Dakota,US-SD,57
Tennessee,US-TN,40
Texas,US-TX,34
Utah,US-UT,37
Vermont,US-VT,53
Virginia,US-VA,40
Washington,US-WA,36
West Virginia,US-WV,51
Wisconsin,US-WI,47
Wyoming,US-WY,57
