geoName,geoCode,Joe Biden
Alabama,US-AL,28
Alaska,US-AK,35
Arizona,US-AZ,32
Arkansas,US-AR,30
California,US-CA,26
Colorado,US-CO,32
Connecticut,US-CT,36
Delaware,US-DE,46
District of Columbia,US-DC,100
Florida,US-FL,31
Georgia,US-GA,27
Hawaii,US-HI,25
Idaho,US-ID,33
Illinois,US-IL,29
Indiana,US-IN,32
Iowa,US-IA,33
Kansas,US-KS,33
Kentucky,US-KY,27
Louisiana,US-LA,25
Maine,US-ME,40
Maryland,US-MD,35
Massachusetts,US-MA,33
Michigan,US-MI,33
Minnesota,US-MN,34
Mississippi,US-MS,25
Missouri,US-MO,30
Montana,US-MT,27
Nebraska,US-NE,29
Nevada,US-NV,28
New Hampshire,US-NH,38
New Jersey,US-NJ,29
New Mexico,US-NM,30
New York,US-NY,28
North Carolina,US-NC,28
North Dakota,US-ND,36
Ohio,US-OH,32
Oklahoma,US-OK,30
Oregon,US-OR,31
Pennsylvania,US-PA,32
Rhode Island,US-RI,35
South Carolina,US-SC,30
South Dakota,US-SD,32
Tennessee,US-TN,31
Texas,US-TX,26
Utah,US-UT,28
Vermont,US-VT,31
Virginia,US-VA,32
Washington,US-WA,31
West Virginia,US-WV,34
Wisconsin,US-WI,31
Wyoming,US-WY,28
