geoName,geoCode,Joe Biden
Alabama,US-AL,41
Alaska,US-AK,49
Arizona,US-AZ,44
Arkansas,US-AR,46
California,US-CA,37
Colorado,US-CO,41
Connecticut,US-CT,51
Delaware,US-DE,72
District of Columbia,US-DC,100
Florida,US-FL,44
Georgia,US-GA,35
Hawaii,US-HI,34
Idaho,US-ID,46
Illinois,US-IL,38
Indiana,US-IN,42
Iowa,US-IA,46
Kansas,US-KS,45
Kentucky,US-KY,43
Louisiana,US-LA,35
Maine,US-ME,55
Maryland,US-MD,45
Massachusetts,US-MA,54
Michigan,US-MI,44
Minnesota,US-MN,47
Mississippi,US-MS,36
Missouri,US-MO,43
Montana,US-MT,42
Nebraska,US-NE,47
Nevada,US-NV,41
New Hampshire,US-NH,55
New Jersey,US-NJ,44
New Mexico,US-NM,42
New York,US-NY,44
North Carolina,US-NC,41
North Dakota,US-ND,47
Ohio,US-OH,41
Oklahoma,US-OK,43
Oregon,US-OR,39
Pennsylvania,US-PA,52
Rhode Island,US-RI,91
South Carolina,US-SC,42
South Dakota,US-SD,51
Tennessee,US-TN,45
Texas,US-TX,37
Utah,US-UT,39
Vermont,US-VT,46
Virginia,US-VA,42
Washington,US-WA,41
West Virginia,US-WV,52
Wisconsin,US-WI,48
Wyoming,US-WY,52
