geoName,geoCode,Joe Biden
Alabama,US-AL,34
Alaska,US-AK,37
Arizona,US-AZ,38
Arkansas,US-AR,30
California,US-CA,30
Colorado,US-CO,33
Connecticut,US-CT,35
Delaware,US-DE,48
District of Columbia,US-DC,65
Florida,US-FL,29
Georgia,US-GA,28
Hawaii,US-HI,100
Idaho,US-ID,42
Illinois,US-IL,31
Indiana,US-IN,30
Iowa,US-IA,35
Kansas,US-KS,35
Kentucky,US-KY,34
Louisiana,US-LA,26
Maine,US-ME,41
Maryland,US-MD,33
Massachusetts,US-MA,35
Michigan,US-MI,33
Minnesota,US-MN,32
Mississippi,US-MS,27
Missouri,US-MO,35
Montana,US-MT,37
Nebraska,US-NE,33
Nevada,US-NV,52
New Hampshire,US-NH,41
New Jersey,US-NJ,35
New Mexico,US-NM,33
New York,US-NY,24
North Carolina,US-NC,31
North Dakota,US-ND,26
Ohio,US-OH,35
Oklahoma,US-OK,34
Oregon,US-OR,35
Pennsylvania,US-PA,34
Rhode Island,US-RI,39
South Carolina,US-SC,36
South Dakota,US-SD,34
Tennessee,US-TN,35
Texas,US-TX,24
Utah,US-UT,32
Vermont,US-VT,37
Virginia,US-VA,30
Washington,US-WA,32
West Virginia,US-WV,41
Wisconsin,US-WI,38
Wyoming,US-WY,34
