geoName,geoCode,Joe Biden
Alabama,US-AL,32
Alaska,US-AK,49
Arizona,US-AZ,37
Arkansas,US-AR,34
California,US-CA,34
Colorado,US-CO,40
Connecticut,US-CT,48
Delaware,US-DE,70
District of Columbia,US-DC,100
Florida,US-FL,35
Georgia,US-GA,34
Hawaii,US-HI,27
Idaho,US-ID,36
Illinois,US-IL,42
Indiana,US-IN,41
Iowa,US-IA,34
Kansas,US-KS,38
Kentucky,US-KY,36
Louisiana,US-LA,29
Maine,US-ME,46
Maryland,US-MD,47
Massachusetts,US-MA,47
Michigan,US-MI,39
Minnesota,US-MN,42
Mississippi,US-MS,29
Missouri,US-MO,41
Montana,US-MT,37
Nebraska,US-NE,40
Nevada,US-NV,31
New Hampshire,US-NH,47
New Jersey,US-NJ,42
New Mexico,US-NM,38
New York,US-NY,34
North Carolina,US-NC,35
North Dakota,US-ND,30
Ohio,US-OH,40
Oklahoma,US-OK,34
Oregon,US-OR,40
Pennsylvania,US-PA,45
Rhode Island,US-RI,40
South Carolina,US-SC,35
South Dakota,US-SD,36
Tennessee,US-TN,32
Texas,US-TX,30
Utah,US-UT,36
Vermont,US-VT,43
Virginia,US-VA,47
Washington,US-WA,36
West Virginia,US-WV,39
Wisconsin,US-WI,39
Wyoming,US-WY,38
