geoName,geoCode,Joe Biden
Alabama,US-AL,78
Alaska,US-AK,85
Arizona,US-AZ,74
Arkansas,US-AR,77
California,US-CA,62
Colorado,US-CO,72
Connecticut,US-CT,83
Delaware,US-DE,95
District of Columbia,US-DC,91
Florida,US-FL,73
Georgia,US-GA,61
Hawaii,US-HI,62
Idaho,US-ID,96
Illinois,US-IL,73
Indiana,US-IN,72
Iowa,US-IA,79
Kansas,US-KS,77
Kentucky,US-KY,73
Louisiana,US-LA,56
Maine,US-ME,79
Maryland,US-MD,65
Massachusetts,US-MA,70
Michigan,US-MI,69
Minnesota,US-MN,72
Mississippi,US-MS,64
Missouri,US-MO,75
Montana,US-MT,95
Nebraska,US-NE,74
Nevada,US-NV,63
New Hampshire,US-NH,97
New Jersey,US-NJ,75
New Mexico,US-NM,73
New York,US-NY,58
North Carolina,US-NC,68
North Dakota,US-ND,91
Ohio,US-OH,76
Oklahoma,US-OK,79
Oregon,US-OR,72
Pennsylvania,US-PA,92
Rhode Island,US-RI,76
South Carolina,US-SC,78
South Dakota,US-SD,86
Tennessee,US-TN,73
Texas,US-TX,64
Utah,US-UT,66
Vermont,US-VT,73
Virginia,US-VA,71
Washington,US-WA,70
West Virginia,US-WV,83
Wisconsin,US-WI,72
Wyoming,US-WY,100
