geoName,geoCode,Joe Biden
Alabama,US-AL,34
Alaska,US-AK,61
Arizona,US-AZ,39
Arkansas,US-AR,37
California,US-CA,34
Colorado,US-CO,36
Connecticut,US-CT,47
Delaware,US-DE,75
District of Columbia,US-DC,100
Florida,US-FL,35
Georgia,US-GA,36
Hawaii,US-HI,43
Idaho,US-ID,47
Illinois,US-IL,40
Indiana,US-IN,40
Iowa,US-IA,44
Kansas,US-KS,39
Kentucky,US-KY,36
Louisiana,US-LA,32
Maine,US-ME,51
Maryland,US-MD,42
Massachusetts,US-MA,46
Michigan,US-MI,42
Minnesota,US-MN,40
Mississippi,US-MS,30
Missouri,US-MO,40
Montana,US-MT,41
Nebraska,US-NE,41
Nevada,US-NV,34
New Hampshire,US-NH,47
New Jersey,US-NJ,42
New Mexico,US-NM,37
New York,US-NY,34
North Carolina,US-NC,37
North Dakota,US-ND,41
Ohio,US-OH,41
Oklahoma,US-OK,37
Oregon,US-OR,37
Pennsylvania,US-PA,42
Rhode Island,US-RI,47
South Carolina,US-SC,35
South Dakota,US-SD,50
Tennessee,US-TN,39
Texas,US-TX,28
Utah,US-UT,36
Vermont,US-VT,51
Virginia,US-VA,42
Washington,US-WA,37
West Virginia,US-WV,45
Wisconsin,US-WI,40
Wyoming,US-WY,46
