geoName,geoCode,Joe Biden
Alabama,US-AL,59
Alaska,US-AK,77
Arizona,US-AZ,63
Arkansas,US-AR,65
California,US-CA,53
Colorado,US-CO,61
Connecticut,US-CT,71
Delaware,US-DE,90
District of Columbia,US-DC,100
Florida,US-FL,63
Georgia,US-GA,54
Hawaii,US-HI,50
Idaho,US-ID,82
Illinois,US-IL,55
Indiana,US-IN,67
Iowa,US-IA,71
Kansas,US-KS,65
Kentucky,US-KY,62
Louisiana,US-LA,56
Maine,US-ME,74
Maryland,US-MD,62
Massachusetts,US-MA,60
Michigan,US-MI,65
Minnesota,US-MN,66
Mississippi,US-MS,60
Missouri,US-MO,72
Montana,US-MT,76
Nebraska,US-NE,74
Nevada,US-NV,55
New Hampshire,US-NH,88
New Jersey,US-NJ,60
New Mexico,US-NM,56
New York,US-NY,50
North Carolina,US-NC,55
North Dakota,US-ND,77
Ohio,US-OH,61
Oklahoma,US-OK,66
Oregon,US-OR,63
Pennsylvania,US-PA,68
Rhode Island,US-RI,77
South Carolina,US-SC,67
South Dakota,US-SD,74
Tennessee,US-TN,66
Texas,US-TX,55
Utah,US-UT,61
Vermont,US-VT,67
Virginia,US-VA,65
Washington,US-WA,63
West Virginia,US-WV,85
Wisconsin,US-WI,74
Wyoming,US-WY,88
