geoName,geoCode,Joe Biden
Alabama,US-AL,28
Alaska,US-AK,37
Arizona,US-AZ,38
Arkansas,US-AR,32
California,US-CA,29
Colorado,US-CO,32
Connecticut,US-CT,42
Delaware,US-DE,50
District of Columbia,US-DC,100
Florida,US-FL,32
Georgia,US-GA,27
Hawaii,US-HI,32
Idaho,US-ID,34
Illinois,US-IL,32
Indiana,US-IN,31
Iowa,US-IA,35
Kansas,US-KS,27
Kentucky,US-KY,31
Louisiana,US-LA,28
Maine,US-ME,35
Maryland,US-MD,35
Massachusetts,US-MA,36
Michigan,US-MI,36
Minnesota,US-MN,34
Mississippi,US-MS,32
Missouri,US-MO,35
Montana,US-MT,33
Nebraska,US-NE,32
Nevada,US-NV,34
New Hampshire,US-NH,49
New Jersey,US-NJ,37
New Mexico,US-NM,39
New York,US-NY,38
North Carolina,US-NC,29
North Dakota,US-ND,32
Ohio,US-OH,34
Oklahoma,US-OK,33
Oregon,US-OR,36
Pennsylvania,US-PA,37
Rhode Island,US-RI,45
South Carolina,US-SC,31
South Dakota,US-SD,37
Tennessee,US-TN,32
Texas,US-TX,24
Utah,US-UT,31
Vermont,US-VT,34
Virginia,US-VA,35
Washington,US-WA,34
West Virginia,US-WV,37
Wisconsin,US-WI,35
Wyoming,US-WY,41
