geoName,geoCode,Joe Biden
Alabama,US-AL,49
Alaska,US-AK,48
Arizona,US-AZ,62
Arkansas,US-AR,49
California,US-CA,47
Colorado,US-CO,96
Connecticut,US-CT,58
Delaware,US-DE,76
District of Columbia,US-DC,100
Florida,US-FL,50
Georgia,US-GA,46
Hawaii,US-HI,46
Idaho,US-ID,65
Illinois,US-IL,58
Indiana,US-IN,57
Iowa,US-IA,65
Kansas,US-KS,60
Kentucky,US-KY,51
Louisiana,US-LA,50
Maine,US-ME,66
Maryland,US-MD,64
Massachusetts,US-MA,67
Michigan,US-MI,65
Minnesota,US-MN,64
Mississippi,US-MS,45
Missouri,US-MO,62
Montana,US-MT,62
Nebraska,US-NE,57
Nevada,US-NV,74
New Hampshire,US-NH,81
New Jersey,US-NJ,58
New Mexico,US-NM,61
New York,US-NY,51
North Carolina,US-NC,50
North Dakota,US-ND,73
Ohio,US-OH,63
Oklahoma,US-OK,58
Oregon,US-OR,67
Pennsylvania,US-PA,72
Rhode Island,US-RI,74
South Carolina,US-SC,55
South Dakota,US-SD,60
Tennessee,US-TN,52
Texas,US-TX,42
Utah,US-UT,61
Vermont,US-VT,71
Virginia,US-VA,55
Washington,US-WA,56
West Virginia,US-WV,62
Wisconsin,US-WI,68
Wyoming,US-WY,89
