geoName,geoCode,Joe Biden
Alabama,US-AL,48
Alaska,US-AK,64
Arizona,US-AZ,50
Arkansas,US-AR,53
California,US-CA,47
Colorado,US-CO,52
Connecticut,US-CT,55
Delaware,US-DE,73
District of Columbia,US-DC,100
Florida,US-FL,48
Georgia,US-GA,46
Hawaii,US-HI,41
Idaho,US-ID,55
Illinois,US-IL,49
Indiana,US-IN,50
Iowa,US-IA,55
Kansas,US-KS,56
Kentucky,US-KY,45
Louisiana,US-LA,41
Maine,US-ME,59
Maryland,US-MD,57
Massachusetts,US-MA,58
Michigan,US-MI,56
Minnesota,US-MN,52
Mississippi,US-MS,36
Missouri,US-MO,49
Montana,US-MT,61
Nebraska,US-NE,51
Nevada,US-NV,49
New Hampshire,US-NH,68
New Jersey,US-NJ,52
New Mexico,US-NM,65
New York,US-NY,47
North Carolina,US-NC,47
North Dakota,US-ND,51
Ohio,US-OH,48
Oklahoma,US-OK,53
Oregon,US-OR,59
Pennsylvania,US-PA,52
Rhode Island,US-RI,63
South Carolina,US-SC,43
South Dakota,US-SD,52
Tennessee,US-TN,48
Texas,US-TX,43
Utah,US-UT,52
Vermont,US-VT,54
Virginia,US-VA,55
Washington,US-WA,60
West Virginia,US-WV,54
Wisconsin,US-WI,54
Wyoming,US-WY,74
