geoName,geoCode,Joe Biden
Alabama,US-AL,48
Alaska,US-AK,60
Arizona,US-AZ,46
Arkansas,US-AR,53
California,US-CA,48
Colorado,US-CO,46
Connecticut,US-CT,54
Delaware,US-DE,69
District of Columbia,US-DC,100
Florida,US-FL,50
Georgia,US-GA,51
Hawaii,US-HI,51
Idaho,US-ID,54
Illinois,US-IL,51
Indiana,US-IN,50
Iowa,US-IA,55
Kansas,US-KS,53
Kentucky,US-KY,56
Louisiana,US-LA,43
Maine,US-ME,61
Maryland,US-MD,48
Massachusetts,US-MA,52
Michigan,US-MI,55
Minnesota,US-MN,52
Mississippi,US-MS,45
Missouri,US-MO,52
Montana,US-MT,58
Nebraska,US-NE,53
Nevada,US-NV,49
New Hampshire,US-NH,63
New Jersey,US-NJ,54
New Mexico,US-NM,45
New York,US-NY,48
North Carolina,US-NC,48
North Dakota,US-ND,59
Ohio,US-OH,56
Oklahoma,US-OK,57
Oregon,US-OR,54
Pennsylvania,US-PA,58
Rhode Island,US-RI,60
South Carolina,US-SC,48
South Dakota,US-SD,52
Tennessee,US-TN,51
Texas,US-TX,44
Utah,US-UT,52
Vermont,US-VT,68
Virginia,US-VA,54
Washington,US-WA,46
West Virginia,US-WV,63
Wisconsin,US-WI,49
Wyoming,US-WY,63
