geoName,geoCode,Joe Biden
Alabama,US-AL,31
Alaska,US-AK,37
Arizona,US-AZ,34
Arkansas,US-AR,31
California,US-CA,31
Colorado,US-CO,32
Connecticut,US-CT,37
Delaware,US-DE,49
District of Columbia,US-DC,100
Florida,US-FL,42
Georgia,US-GA,28
Hawaii,US-HI,26
Idaho,US-ID,35
Illinois,US-IL,30
Indiana,US-IN,33
Iowa,US-IA,39
Kansas,US-KS,34
Kentucky,US-KY,33
Louisiana,US-LA,27
Maine,US-ME,36
Maryland,US-MD,39
Massachusetts,US-MA,38
Michigan,US-MI,34
Minnesota,US-MN,38
Mississippi,US-MS,25
Missouri,US-MO,35
Montana,US-MT,42
Nebraska,US-NE,37
Nevada,US-NV,32
New Hampshire,US-NH,43
New Jersey,US-NJ,35
New Mexico,US-NM,32
New York,US-NY,32
North Carolina,US-NC,28
North Dakota,US-ND,30
Ohio,US-OH,31
Oklahoma,US-OK,33
Oregon,US-OR,35
Pennsylvania,US-PA,35
Rhode Island,US-RI,39
South Carolina,US-SC,32
South Dakota,US-SD,35
Tennessee,US-TN,32
Texas,US-TX,27
Utah,US-UT,28
Vermont,US-VT,36
Virginia,US-VA,33
Washington,US-WA,33
West Virginia,US-WV,35
Wisconsin,US-WI,53
Wyoming,US-WY,43
