geoName,geoCode,Joe Biden
Alabama,US-AL,30
Alaska,US-AK,20
Arizona,US-AZ,32
Arkansas,US-AR,31
California,US-CA,24
Colorado,US-CO,28
Connecticut,US-CT,34
Delaware,US-DE,70
District of Columbia,US-DC,93
Florida,US-FL,28
Georgia,US-GA,27
Hawaii,US-HI,25
Idaho,US-ID,32
Illinois,US-IL,30
Indiana,US-IN,31
Iowa,US-IA,33
Kansas,US-KS,32
Kentucky,US-KY,30
Louisiana,US-LA,26
Maine,US-ME,100
Maryland,US-MD,37
Massachusetts,US-MA,32
Michigan,US-MI,32
Minnesota,US-MN,30
Mississippi,US-MS,27
Missouri,US-MO,29
Montana,US-MT,30
Nebraska,US-NE,30
Nevada,US-NV,28
New Hampshire,US-NH,43
New Jersey,US-NJ,32
New Mexico,US-NM,27
New York,US-NY,22
North Carolina,US-NC,31
North Dakota,US-ND,33
Ohio,US-OH,32
Oklahoma,US-OK,32
Oregon,US-OR,29
Pennsylvania,US-PA,33
Rhode Island,US-RI,29
South Carolina,US-SC,28
South Dakota,US-SD,23
Tennessee,US-TN,31
Texas,US-TX,23
Utah,US-UT,30
Vermont,US-VT,37
Virginia,US-VA,32
Washington,US-WA,29
West Virginia,US-WV,30
Wisconsin,US-WI,33
Wyoming,US-WY,28
