"","geoCode","/m/012gx2"
"Alabama","US-AL",28
"Alaska","US-AK",0
"Arizona","US-AZ",25
"Arkansas","US-AR",28
"California","US-CA",22
"Colorado","US-CO",27
"Connecticut","US-CT",25
"Delaware","US-DE",36
"District of Columbia","US-DC",100
"Florida","US-FL",26
"Georgia","US-GA",23
"Hawaii","US-HI",35
"Idaho","US-ID",27
"Illinois","US-IL",26
"Indiana","US-IN",23
"Iowa","US-IA",20
"Kansas","US-KS",20
"Kentucky","US-KY",24
"Louisiana","US-LA",23
"Maine","US-ME",33
"Maryland","US-MD",33
"Massachusetts","US-MA",23
"Michigan","US-MI",28
"Minnesota","US-MN",29
"Mississippi","US-MS",20
"Missouri","US-MO",19
"Montana","US-MT",0
"Nebraska","US-NE",18
"Nevada","US-NV",24
"New Hampshire","US-NH",15
"New Jersey","US-NJ",27
"New Mexico","US-NM",28
"New York","US-NY",28
"North Carolina","US-NC",57
"North Dakota","US-ND",0
"Ohio","US-OH",20
"Oklahoma","US-OK",35
"Oregon","US-OR",32
"Pennsylvania","US-PA",32
"Rhode Island","US-RI",28
"South Carolina","US-SC",23
"South Dakota","US-SD",0
"Tennessee","US-TN",20
"Texas","US-TX",21
"Utah","US-UT",22
"Vermont","US-VT",0
"Virginia","US-VA",29
"Washington","US-WA",26
"West Virginia","US-WV",31
"Wisconsin","US-WI",30
"Wyoming","US-WY",0
